#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-16T11:39:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e9842fbafbf	
#INFO	-out.max=1000	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/633/A51&tab:{J/A+A/633/A51/handbook}&key:source=J/A+A/633/A51&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/633/A51/handbook
#-order=I
#-out=Name
#-out=GLON
#-out=GLAT
#-out=d16
#-out=d50
#-out=d84
#
#
#RESOURCE=yCat_36330051
#Name: J/A+A/633/A51
#Title: Distances to molecular clouds in SFR (Zucker+, 2020)
#Coosys	G:	galactic
#Table	J_A_A_633_A51_handbook:
#Name: J/A+A/633/A51/handbook
#Title: Star Formation Handbook Cloud Distances (table A1)
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a17)	Cloud/star-forming region associated with sightline	[ucd=meta.id.assoc;obs.field]
#Column	GLON	(F5.1)	Galactic longitude of center of sightline	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude of center of sightline	[ucd=pos.galactic.lat]
#Column	d16	(I4)	16th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	d50	(I4)	50th percentile of the samples for the cloud distance D_c	[ucd=pos.distance]
#Column	d84	(I4)	84th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
RAJ2000;DEJ2000;Name;GLON;GLAT;d16;d50;d84
289.0426;-38.4022;Corona_Australis ;359.5;-21.0; 161; 165; 168
310.5994;+43.3909;CygnusX          ;082.9;+00.7;1260;1272;1285
304.2095;+39.3319;CygnusX          ;076.8;+02.2;1597;1622;1637
304.6069;+39.6070;CygnusX          ;077.2;+02.1;1299;1309;1333
311.6878;+39.4284;CygnusX          ;080.3;-02.4;1432;1441;1448
308.1961;+41.7218;CygnusX          ;080.5;+01.1;1205;1214;1235
304.1830;+41.9921;CygnusX          ;079.0;+03.7;1485;1507;1530
305.8296;+39.5646;CygnusX          ;077.7;+01.3; 892; 898; 910
309.7041;+40.2405;CygnusX          ;080.0;-00.7; 975; 991;1008
305.0361;+41.6823;CygnusX          ;079.1;+03.0; 991;1003;1011
306.0671;+42.6107;CygnusX          ;080.3;+02.9; 965; 973; 977
309.0245;+40.8835;CygnusX          ;080.2;+00.1;1216;1226;1246
309.7696;+43.1001;CygnusX          ;082.3;+01.0; 751; 761; 775
307.3257;+39.9737;CygnusX          ;078.7;+00.6; 883; 919; 933
252.3343;+59.9178;Draco            ;089.5;+38.4; 436; 481; 532
084.9382;+23.0743;GGD4             ;184.3;-04.2;1327;1349;1383
085.3016;+22.3435;GGD4             ;185.1;-04.3;1374;1396;1419
091.6092;+20.2313;Gem_OB1          ;189.9;-00.3;1783;1815;1826
092.3355;+21.0668;Gem_OB1          ;189.5;+00.7;1848;1864;1876
092.4046;+19.5029;Gem_OB1          ;190.9;+00.0;1857;1865;1877
092.2013;+21.9119;Gem_OB1          ;188.7;+01.0;1961;1971;1978
094.0243;+17.9483;Gem_OB1          ;193.0;+00.6;1717;1726;1751
280.3258;+14.8257;Hercules         ;045.1;+08.9; 221; 223; 226
280.1587;+13.8055;Hercules         ;044.1;+08.6; 221; 223; 226
280.2240;+12.3423;Hercules         ;042.8;+07.9; 228; 230; 234
323.8764;+57.4232;IC1396           ;098.9;+04.0; 903; 916; 937
325.3062;+58.3695;IC1396           ;100.1;+04.2; 888; 905; 926
326.7239;+57.9567;IC1396           ;100.4;+03.4; 912; 941; 970
323.2641;+58.0736;IC1396           ;099.1;+04.7; 884; 909; 927
076.7952;-06.2516;IC2118           ;206.4;-26.0; 308; 328; 343
076.0850;-07.5127;IC2118           ;207.3;-27.2; 262; 273; 281
076.4626;-06.9237;IC2118           ;206.9;-26.6; 253; 283; 299
173.0275;-63.1034;IC2944           ;294.1;-01.6;2346;2363;2402
174.7878;-63.2389;IC2944           ;294.9;-01.5;2430;2452;2466
173.8280;-63.6335;IC2944           ;294.6;-02.0;2301;2342;2362
094.5467;+22.5245;IC443            ;189.2;+03.2;1610;1629;1655
095.9864;+23.2249;IC443            ;189.2;+04.7;1578;1593;1619
095.5144;+22.5466;IC443            ;189.6;+04.0;1550;1558;1564
095.3582;+23.0345;IC443            ;189.1;+04.1;1558;1588;1638
326.7336;+47.5254;IC5146           ;093.7;-04.6; 758; 774; 787
326.0117;+47.6367;IC5146           ;093.4;-04.2; 777; 792; 805
327.3579;+47.4865;IC5146           ;094.0;-04.9; 705; 730; 749
328.3738;+47.2731;IC5146           ;094.4;-05.5; 743; 751; 761
314.7120;+77.6832;L1228            ;111.8;+20.2; 361; 366; 372
334.0696;+73.3810;L1228D           ;112.3;+13.8; 331; 491; 511
339.6076;+75.1756;L1251            ;114.6;+14.5; 345; 351; 361
358.6546;+60.0937;L1265            ;115.9;-02.0; 313; 344; 378
010.1502;+62.9458;L1293            ;121.7;+00.1;1071;1083;1095
010.9094;+61.4576;L1302            ;122.0;-01.4; 899; 906; 919
018.5785;+62.1532;L1306            ;125.6;-00.6; 890; 903; 918
021.0727;+61.8248;L1306            ;126.8;-00.8; 921; 941; 958
016.2371;+66.1359;L1307            ;124.3;+03.3; 829; 834; 840
016.8682;+65.4198;L1307            ;124.6;+02.6; 892; 902; 922
036.5865;+75.4605;L1333            ;128.9;+13.7; 280; 283; 286
027.9130;+66.4715;L1335            ;128.9;+04.3; 629; 647; 673
037.2445;+73.0191;L1340            ;130.0;+11.5; 846; 858; 868
041.8053;+69.5224;L1355            ;132.8;+08.9; 932; 948; 982
044.3363;+69.5206;L1355            ;133.6;+09.3; 910; 924; 937
076.6339;-03.3748;L1616            ;203.5;-24.8; 385; 392; 400
087.8828;+02.7430;L1617            ;203.5;-12.0; 405; 414; 419
088.6168;+01.8045;L1622            ;204.7;-11.8; 401; 418; 435
079.8018;-05.9475;L1634            ;207.6;-23.2; 377; 389; 413
080.1600;-05.7657;L1634            ;207.6;-22.8; 351; 364; 383
274.9260;-21.0146;L291             ;010.7;-02.8;1420;1439;1456
274.5685;-20.1559;L291             ;011.3;-02.1;1314;1336;1348
275.1828;-20.3504;L291             ;011.4;-02.7;1324;1348;1370
277.4070;-15.2549;L379             ;016.9;-02.2;2354;2406;2441
278.1465;-15.4003;L379             ;017.1;-02.9;1861;1890;1989
277.8192;-15.5743;L379             ;016.8;-02.7;2041;2061;2074
315.2459;+49.3051;L977             ;089.5;+02.0; 648; 660; 675
315.3188;+49.6624;L977             ;089.8;+02.2; 626; 642; 658
316.0144;+50.4682;L988             ;090.7;+02.4; 621; 627; 633
315.6122;+50.0284;L988             ;090.2;+02.3; 606; 612; 619
070.2669;-05.5155;LBN906           ;202.2;-31.4; 283; 287; 292
071.8534;-06.1297;LBN917           ;203.7;-30.3; 226; 232; 239
080.0180;-03.7560;LBN942           ;205.6;-22.0; 251; 257; 263
075.4362;-08.9179;LBN968           ;208.4;-28.4; 309; 319; 333
081.0344;-06.1528;LBN969           ;208.4;-22.2; 269; 274; 281
076.9390;-13.2649;LBN991           ;213.6;-28.9; 392; 408; 428
334.3382;+44.4967;Lacerta          ;096.1;-10.2; 499; 504; 511
335.0100;+43.2548;Lacerta          ;095.8;-11.5; 469; 473; 478
272.3970;-24.0671;Lagoon           ;006.9;-02.2;1318;1325;1333
272.7993;-23.8131;Lagoon           ;007.3;-02.4;1211;1220;1231
251.3338;-35.4219;Lupus            ;347.3;+06.6; 188; 239; 287
234.8715;-33.5542;Lupus            ;338.7;+17.4; 154; 160; 165
235.9739;-34.2287;Lupus            ;339.0;+16.3; 140; 151; 164
243.2049;-37.7261;Lupus            ;341.1;+09.8; 192; 197; 202
246.2967;-40.1298;Lupus            ;341.1;+06.4;  75; 108; 160
237.0611;-35.3069;Lupus            ;339.0;+14.9; 150; 156; 160
274.5972;-13.1334;M16              ;017.5;+01.2;1720;1739;1762
274.9720;-12.8754;M16              ;017.9;+01.0;1611;1640;1662
275.6219;-16.1577;M17              ;015.3;-01.1;1540;1574;1591
274.8387;-15.8692;M17              ;015.2;-00.3;1485;1509;1531
275.4441;-15.8403;M17              ;015.5;-00.8;1474;1488;1512
271.0437;-22.8029;M20              ;007.4;-00.5;1242;1253;1263
270.6693;-23.4122;M20              ;006.7;-00.5;1211;1234;1253
270.2634;-22.8548;M20              ;007.0;+00.1;1180;1186;1196
270.2367;-23.3014;M20              ;006.6;-00.1;1176;1184;1196
102.2579;-04.3142;Maddalena        ;216.5;-02.5;2105;2110;2120
105.1192;-03.5260;Maddalena        ;217.1;+00.4;1875;1888;1910
102.6625;-04.4448;Maddalena        ;216.8;-02.2;2104;2113;2130
104.5315;-03.0405;Maddalena        ;216.4;+00.1;2089;2099;2115
097.7949;+11.5054;Mon_OB1_NGC2264  ;200.4;+00.8; 714; 719; 730
098.3523;+10.8883;Mon_OB1_NGC2264  ;201.2;+01.0; 708; 715; 761
098.5364;+10.7569;Mon_OB1_NGC2264  ;201.4;+01.1; 737; 748; 758
099.9606;+09.5682;Mon_OB1_NGC2264  ;203.1;+01.8; 768; 780; 796
100.2730;+10.0633;Mon_OB1_NGC2264  ;202.8;+02.3; 733; 759; 769
100.3107;+10.8681;Mon_OB1_NGC2264  ;202.1;+02.7; 765; 771; 785
099.0107;-10.8304;Mon_R2           ;220.9;-08.3; 911; 915; 920
091.7279;-05.7234;Mon_R2           ;213.0;-12.5; 796; 799; 804
092.3699;-07.9115;Mon_R2           ;215.3;-12.9; 750; 767; 780
098.8000;-09.0554;Mon_R2           ;219.2;-07.7; 938; 943; 979
097.2074;-09.9401;Mon_R2           ;219.3;-09.5; 909; 923; 933
092.6626;-06.2426;Mon_R2           ;213.9;-11.9; 773; 788; 800
110.9816;-25.8203;NGC2362          ;239.5;-04.9;1311;1317;1324
109.8086;-23.7911;NGC2362          ;237.2;-04.9;1154;1173;1190
111.2526;-24.7879;NGC2362          ;238.7;-04.2;1350;1358;1368
273.8405;-12.3949;NGC6604          ;017.8;+02.2;1331;1352;1359
274.2565;-12.2736;NGC6604          ;018.1;+01.9;1489;1524;1543
273.7650;-11.9007;NGC6604          ;018.2;+02.5;1327;1334;1342
248.7069;-44.9540;Norma            ;338.8;+01.8; 675; 721; 777
314.3169;+44.2980;North_America    ;085.3;-00.8; 753; 784; 902
314.2870;+43.6581;North_America    ;084.8;-01.2; 855; 878; 907
316.2387;+43.7501;North_America    ;085.8;-02.2; 809; 834; 852
316.8830;+44.4096;North_America    ;086.6;-02.1; 710; 731; 771
312.7244;+44.3411;North_America    ;084.6;+00.1; 784; 792; 800
314.2450;+42.2376;North_America    ;083.7;-02.1; 768; 781; 792
313.4645;+41.5509;North_America    ;082.8;-02.1; 796; 809; 821
312.1239;+40.9569;North_America    ;081.7;-01.7; 834; 852; 869
313.8566;+43.1366;North_America    ;084.2;-01.3; 797; 811; 818
314.8092;+43.3317;North_America    ;084.8;-01.7; 810; 821; 834
314.4780;+52.1040;Northern_Coalsack;091.3;+04.2; 570; 577; 585
316.7423;+52.6143;Northern_Coalsack;092.6;+03.5; 548; 561; 574
315.3175;+52.8484;Northern_Coalsack;092.2;+04.3; 539; 547; 553
247.6039;-25.6645;Ophiuchus        ;352.7;+15.4; 137; 139; 142
248.8202;-23.4444;Ophiuchus        ;355.2;+16.0; 126; 128; 131
250.3291;-22.2210;Ophiuchus        ;357.1;+15.7; 114; 118; 123
244.5984;-26.8561;Ophiuchus_Arc    ;349.9;+16.6; 162; 167; 172
245.5561;-28.4385;Ophiuchus_Arc    ;349.3;+14.9; 152; 155; 157
245.0070;-23.9508;Ophiuchus_Arc    ;352.4;+18.3; 127; 130; 132
254.8492;-22.8682;Ophiuchus_B44    ;359.2;+12.0; 145; 149; 154
252.5444;-23.8347;Ophiuchus_B44    ;357.1;+13.1; 140; 145; 150
249.1860;-24.6034;Ophiuchus_B44    ;354.5;+15.0; 150; 154; 158
251.6326;-21.3355;Ophiuchus_B45    ;358.6;+15.3; 130; 139; 143
250.4133;-22.2836;Ophiuchus_B45    ;357.1;+15.6; 137; 142; 148
249.0044;-23.0851;Ophiuchus_B45    ;355.6;+16.1; 130; 132; 135
246.9553;-24.5129;Ophiuchus_L1688  ;353.2;+16.6; 135; 139; 142
251.7540;-09.8926;Ophiuchus_North  ;008.4;+22.0; 104; 109; 117
252.5885;-15.3078;Ophiuchus_North  ;004.2;+18.2; 146; 151; 154
252.0522;-12.2615;Ophiuchus_North  ;006.5;+20.4; 123; 134; 144
086.2152;-01.3456;Orion            ;206.4;-15.4; 411; 433; 460
083.1723;-05.7042;Orion            ;209.0;-20.1; 384; 394; 404
083.3943;-05.6978;Orion            ;209.1;-19.9; 425; 445; 470
085.8787;-07.7393;Orion            ;212.2;-18.6; 467; 473; 480
086.0371;+03.4027;Orion            ;202.0;-13.3; 467; 481; 491
086.4291;-00.4675;Orion            ;205.7;-14.8; 413; 436; 460
084.7818;-08.4785;Orion            ;212.4;-19.9; 399; 415; 425
083.3631;-04.9745;Orion            ;208.4;-19.6; 392; 399; 413
085.6417;-03.2713;Orion            ;207.9;-16.8; 397; 411; 420
086.5543;-10.0448;Orion            ;214.7;-19.0; 410; 416; 420
084.0515;-06.1064;Orion            ;209.8;-19.5; 411; 438; 453
085.4234;+03.0641;Orion            ;202.0;-14.0; 397; 399; 403
082.0967;-01.6972;Orion            ;204.7;-19.2; 400; 418; 433
086.1310;-02.4768;Orion            ;207.4;-16.0; 448; 451; 459
087.3408;+01.0094;Orion            ;204.8;-13.3; 410; 415; 419
087.1405;-07.3373;Orion            ;212.4;-17.3; 468; 522; 542
085.2682;+03.7553;Orion            ;201.3;-13.8; 410; 420; 426
085.0835;+13.8439;Orion_Lam        ;192.3;-08.9; 389; 406; 422
081.0434;+06.4633;Orion_Lam        ;196.7;-16.1; 419; 426; 436
082.5260;+08.6870;Orion_Lam        ;195.5;-13.7; 387; 399; 413
086.1181;+06.1302;Orion_Lam        ;199.6;-11.9; 389; 393; 401
083.5650;+10.0922;Orion_Lam        ;194.8;-12.1; 416; 423; 435
085.2651;+11.1960;Orion_Lam        ;194.7;-10.1; 420; 425; 450
088.0459;+10.2673;Orion_Lam        ;196.9;-08.2; 386; 394; 407
354.7417;+28.5220;Pegasus          ;104.2;-31.7; 274; 292; 307
347.0328;+14.6252;Pegasus          ;088.8;-41.3; 229; 238; 248
345.9807;+21.6763;Pegasus          ;092.2;-34.7; 159; 258; 289
348.8964;+21.9765;Pegasus          ;095.3;-35.7; 242; 257; 276
355.6466;+29.9440;Pegasus          ;105.6;-30.6; 241; 256; 271
055.4060;+32.2913;Perseus          ;159.9;-18.1; 285; 305; 319
052.9523;+31.6449;Perseus          ;158.6;-19.9; 285; 291; 306
051.3200;+29.9469;Perseus          ;158.5;-22.1; 230; 243; 255
053.0592;+30.6894;Perseus          ;159.3;-20.6; 268; 276; 288
054.0518;+31.1647;Perseus          ;159.7;-19.7; 322; 347; 369
054.8109;+31.6707;Perseus          ;159.9;-18.9; 266; 279; 297
052.6477;+30.0788;Perseus          ;159.4;-21.3; 164; 234; 273
050.2410;+29.7655;Perseus          ;157.8;-22.8; 257; 264; 275
057.0218;+32.5859;Perseus          ;160.8;-17.0; 272; 276; 283
055.7321;+31.2851;Perseus          ;160.8;-18.7; 270; 285; 303
052.5325;+30.4080;Perseus          ;159.1;-21.1; 277; 291; 306
051.1098;+30.9516;Perseus          ;157.7;-21.4; 228; 240; 251
051.8944;+31.0752;Perseus          ;158.2;-20.9; 279; 287; 295
053.4185;+33.8650;Perseus          ;157.5;-17.9; 279; 287; 295
056.5218;+32.6801;Perseus          ;160.4;-17.2; 268; 284; 298
055.8694;+32.6171;Perseus          ;160.0;-17.6; 321; 331; 346
056.9056;+33.0624;Perseus          ;160.4;-16.7; 212; 256; 277
057.4768;+33.1802;Perseus          ;160.7;-16.3; 289; 296; 306
257.5612;-27.4736;Pipe_B59         ;356.9;+07.3; 173; 180; 185
190.4627;+79.2177;Polaris          ;123.5;+37.9; 434; 472; 507
045.9108;+78.4490;Polaris          ;129.5;+17.3; 322; 341; 361
040.9675;+83.3237;Polaris          ;126.3;+21.2; 333; 343; 349
134.6710;-47.6489;RCW38            ;268.0;-01.2;1578;1595;1640
134.3810;-47.4217;RCW38            ;267.7;-01.2;1625;1650;1667
096.9960;+05.6775;Rosette          ;205.2;-02.6;1407;1413;1419
098.9843;+04.9046;Rosette          ;206.8;-01.2;1341;1356;1363
098.6434;+03.6032;Rosette          ;207.8;-02.1;1248;1261;1281
306.6623;+37.0224;S106             ;076.0;-00.7;1072;1091;1113
277.8689;-01.1800;Serpens          ;029.6;+03.9; 492; 501; 512
277.5080;-01.4427;Serpens          ;029.2;+04.1; 533; 556; 574
278.1647;-02.5686;Serpens          ;028.5;+03.0; 476; 489; 508
277.4475;-02.6473;Serpens          ;028.1;+03.6; 416; 439; 452
280.0296;+00.1789;Serpens_Low      ;031.8;+02.6; 479; 494; 511
279.1646;-01.2860;Serpens_Low      ;030.1;+02.7; 448; 466; 476
279.7192;+00.4502;Serpens_Low      ;031.9;+03.0; 475; 487; 505
280.4416;+01.2024;Serpens_Low      ;032.9;+02.7; 512; 526; 540
277.0331;+00.0359;Serpens_Main     ;030.3;+05.2; 479; 490; 504
277.4429;+00.8331;Serpens_Main     ;031.2;+05.2; 409; 425; 437
275.2256;-11.9875;Serpens_OB2      ;018.8;+01.2;1541;1569;1657
274.4785;-12.5037;Serpens_OB2      ;018.0;+01.6;1556;1577;1595
274.9427;-12.2931;Serpens_OB2      ;018.4;+01.3;1596;1611;1634
277.8579;-02.0728;Serpens_W40      ;028.8;+03.5; 464; 487; 514
084.4392;+36.1468;Sh2-231          ;173.0;+02.4;1588;1616;1627
085.2915;+35.9891;Sh2-232          ;173.5;+02.9;1695;1713;1731
159.6265;+73.4203;Spider           ;134.8;+40.5; 347; 369; 388
069.1743;+25.8590;Taurus           ;173.5;-14.2; 132; 147; 157
066.4905;+26.1935;Taurus           ;171.6;-15.8; 122; 130; 139
071.8566;+24.9537;Taurus           ;175.8;-12.9; 154; 156; 159
067.9221;+26.5542;Taurus           ;172.2;-14.6; 135; 137; 141
068.4320;+29.5325;Taurus           ;170.2;-12.3; 165; 170; 180
068.6815;+24.2175;Taurus           ;174.5;-15.6; 156; 159; 162
065.4087;+25.1840;Taurus           ;171.7;-17.2; 147; 149; 150
061.7870;+29.3913;Taurus           ;166.2;-16.6; 136; 138; 139
068.2809;+27.8620;Taurus           ;171.4;-13.5; 151; 154; 158
062.5056;+25.0616;Taurus           ;169.9;-19.2; 128; 129; 132
126.6893;+58.6942;Ursa_Major       ;158.5;+35.2; 338; 352; 363
141.6174;+69.4548;Ursa_Major       ;143.4;+38.5; 404; 408; 416
143.5136;+66.0494;Ursa_Major       ;146.9;+40.7; 310; 330; 348
130.8907;+62.4875;Ursa_Major       ;153.5;+36.7; 335; 352; 371
135.6856;-44.5066;Vela_C           ;266.1;+01.4; 858; 866; 887
134.7393;-44.0369;Vela_C           ;265.3;+01.2; 940; 947; 955
135.3661;-43.6424;Vela_C           ;265.3;+01.8; 871; 878; 884
134.4067;-43.4520;Vela_C           ;264.7;+01.4; 921; 931; 940
135.1847;-42.4295;Vela_C           ;264.3;+02.5; 960; 965; 980
035.5020;+62.1347;W3               ;133.3;+01.1;1853;1873;1884
036.4540;+62.1823;W3               ;133.7;+01.3;2156;2184;2203
035.0701;+61.5703;W3               ;133.3;+00.5;1628;1659;1683
040.1707;+61.4553;W4               ;135.6;+01.3;1740;1825;1856
039.3454;+61.3015;W4               ;135.3;+01.0;1638;1647;1667
039.2598;+60.4481;W4               ;135.6;+00.2;1390;1451;1464
040.0855;+61.3640;W4               ;135.6;+01.2;1728;1755;1794
